"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Artiodactyla"	"1831"	"-0.266"	"-0.301"	"0.995"	"-0.49"	"-0.045"	"0.8"	"0.435"	"-0.104"	"0.714"	"0.344"	"-0.012"	"0.336"	"-0.766"	"-0.527"	"0.62"	"Exponential"	"0.995"
"Perissodactyla"	"755"	"-0.19"	"-0.3"	"0.996"	"-0.422"	"-0.047"	"0.825"	"0.503"	"-0.121"	"0.772"	"0.393"	"-0.015"	"0.385"	"-0.689"	"-0.523"	"0.601"	"Exponential"	"0.996"
"Rodentia"	"2793"	"-0.315"	"-0.406"	"0.977"	"-0.572"	"-0.064"	"0.675"	"0.389"	"-0.122"	"0.647"	"0.301"	"-0.014"	"0.237"	"-0.882"	"-0.588"	"0.634"	"Exponential"	"0.977"
"Lagomorpha"	"239"	"-0.236"	"-0.355"	"0.99"	"-0.458"	"-0.07"	"0.82"	"0.46"	"-0.135"	"0.775"	"0.361"	"-0.021"	"0.404"	"-0.765"	"-0.476"	"0.589"	"Exponential"	"0.99"
"Proboscidea"	"181"	"-0.237"	"-0.192"	"0.989"	"-0.42"	"-0.025"	"0.912"	"0.465"	"-0.076"	"0.841"	"0.377"	"-0.008"	"0.529"	"-0.652"	"-0.441"	"0.594"	"Exponential"	"0.989"
"Primates"	"522"	"-0.504"	"-0.359"	"0.831"	"-0.681"	"-0.039"	"0.438"	"0.303"	"-0.087"	"0.433"	"0.256"	"-0.007"	"0.118"	"-1.034"	"-0.511"	"0.676"	"Exponential"	"0.831"
"Carnivora"	"1261"	"-0.332"	"-0.204"	"0.985"	"-0.54"	"-0.02"	"0.751"	"0.391"	"-0.064"	"0.657"	"0.316"	"-0.005"	"0.291"	"-0.744"	"-0.489"	"0.619"	"Exponential"	"0.985"
"Pilosa"	"55"	"-0.628"	"-0.338"	"0.966"	"-0.79"	"-0.105"	"0.912"	"0.193"	"-0.066"	"0.91"	"0.157"	"-0.018"	"0.668"	"-1.104"	"-0.337"	"0.576"	"Exponential"	"0.966"
"Cingulata"	"97"	"-0.474"	"-0.667"	"0.936"	"-0.646"	"-0.377"	"0.944"	"0.26"	"-0.156"	"0.91"	"0.21"	"-0.078"	"0.725"	"-1.178"	"-0.535"	"0.629"	"Exponential2"	"0.944"
"Eulipotyphla"	"674"	"-0.286"	"-0.447"	"0.964"	"-0.545"	"-0.078"	"0.637"	"0.42"	"-0.15"	"0.666"	"0.322"	"-0.019"	"0.236"	"-0.864"	"-0.544"	"0.617"	"Exponential"	"0.964"
"Didelphimorphia"	"56"	"-0.153"	"-0.646"	"0.963"	"-0.394"	"-0.298"	"0.949"	"0.479"	"-0.26"	"0.91"	"0.369"	"-0.106"	"0.706"	"-0.854"	"-0.791"	"0.679"	"Exponential"	"0.963"
"Chiroptera"	"236"	"-0.436"	"-0.408"	"0.916"	"-0.668"	"-0.065"	"0.564"	"0.316"	"-0.108"	"0.6"	"0.248"	"-0.013"	"0.205"	"-0.966"	"-0.473"	"0.613"	"Exponential"	"0.916"
"Creodonta"	"131"	"-0.345"	"-0.662"	"0.957"	"-0.538"	"-0.238"	"0.739"	"0.39"	"-0.218"	"0.651"	"0.318"	"-0.065"	"0.345"	"-1.083"	"-0.724"	"0.804"	"Exponential"	"0.957"
"Hyracoidea"	"42"	"-0.477"	"-0.357"	"0.761"	"-0.52"	"-0.192"	"0.83"	"0.306"	"-0.122"	"0.899"	"0.286"	"-0.062"	"0.887"	"-0.958"	"-0.383"	"0.633"	"Linear"	"0.899"
"Mesonychia"	"49"	"-0.319"	"-0.905"	"0.96"	"-0.496"	"-0.649"	"0.869"	"0.393"	"-0.336"	"0.873"	"0.315"	"-0.206"	"0.576"	"-1.058"	"-0.566"	"0.724"	"Exponential"	"0.96"
"Condylarthra"	"226"	"-0.13"	"-0.758"	"0.958"	"-0.372"	"-0.378"	"0.957"	"0.499"	"-0.296"	"0.891"	"0.387"	"-0.126"	"0.649"	"-0.893"	"-0.659"	"0.583"	"Exponential"	"0.958"
"Cimolesta"	"124"	"-0.176"	"-0.833"	"0.961"	"-0.423"	"-0.46"	"0.936"	"0.452"	"-0.303"	"0.895"	"0.349"	"-0.145"	"0.656"	"-0.975"	"-0.779"	"0.656"	"Exponential"	"0.961"
"Multituberculata"	"104"	"-0.038"	"-0.654"	"0.873"	"-0.242"	"-0.341"	"0.975"	"0.589"	"-0.309"	"0.984"	"0.471"	"-0.142"	"0.859"	"-0.753"	"-0.61"	"0.5"	"Linear"	"0.984"
"Leptictida"	"30"	"-0.221"	"-0.755"	"0.831"	"-0.354"	"-0.623"	"0.909"	"0.464"	"-0.34"	"0.98"	"0.394"	"-0.263"	"0.94"	"-0.906"	"-0.607"	"0.615"	"Linear"	"0.98"
