"SETON2012"	"MERDITH2021"	"MULLER2016"	"MULLER2019"	"MULLER2022"	"MATTHEWS2016_mantle_ref"	"MATTHEWS2016_pmag_ref"	"PALEOMAP"	"age"
"13.41"	"13.41"	"13.41"	"13.41"	"13.41"	"13.41"	"13.41"	"13.41"	"0"
"13.41"	"13.41"	"13.41"	"13.41"	"13.41"	"13.41"	"13.41"	"13.41"	"0"
"13.1657"	"13.2644"	"13.4224"	"13.0792"	"13.1187"	"13.4224"	"13.1631"	"13.3586"	"1"
"12.9214"	"13.1215"	"13.4342"	"12.7493"	"12.8273"	"13.4342"	"12.9186"	"13.3069"	"2"
"12.677"	"12.9811"	"13.4453"	"12.4202"	"12.5357"	"13.4453"	"12.6764"	"13.2494"	"3"
"12.4327"	"12.8431"	"13.4559"	"12.092"	"12.244"	"13.4559"	"12.4365"	"13.1915"	"4"
"12.1883"	"12.7075"	"13.4658"	"11.7646"	"11.9521"	"13.4658"	"12.1988"	"13.1332"	"5"
"11.944"	"12.5742"	"13.475"	"11.4396"	"11.6789"	"13.475"	"11.9634"	"13.0746"	"6"
"11.6997"	"12.443"	"13.4837"	"11.1154"	"11.4056"	"13.4837"	"11.7302"	"12.9635"	"7"
"11.4554"	"12.314"	"13.4917"	"10.7921"	"11.1321"	"13.4917"	"11.4992"	"12.7738"	"8"
"11.2111"	"12.187"	"13.4991"	"10.4697"	"10.8586"	"13.4991"	"11.2703"	"12.5833"	"9"
"10.9669"	"12.0621"	"13.5058"	"10.1481"	"10.5849"	"13.5058"	"11.0437"	"12.4249"	"10"
"10.7702"	"11.9026"	"13.5067"	"9.9417"	"10.3607"	"13.5067"	"10.9255"	"12.3284"	"11"
"10.5581"	"11.7288"	"13.4905"	"9.7198"	"10.1202"	"13.4905"	"10.7932"	"12.2315"	"12"
"10.346"	"11.5549"	"13.4737"	"9.4978"	"9.8794"	"13.4737"	"10.6614"	"12.1343"	"13"
"10.1341"	"11.3811"	"13.4564"	"9.2758"	"9.6383"	"13.4564"	"10.5302"	"12.0369"	"14"
"9.9224"	"11.2072"	"13.4385"	"9.0537"	"9.3969"	"13.4385"	"10.3996"	"11.939"	"15"
"9.7109"	"11.0334"	"13.4199"	"8.8309"	"9.1641"	"13.4199"	"10.2695"	"11.8406"	"16"
"9.4995"	"10.8596"	"13.4008"	"8.608"	"8.9309"	"13.4008"	"10.1399"	"11.7418"	"17"
"9.2882"	"10.6858"	"13.381"	"8.3851"	"8.6975"	"13.381"	"10.0109"	"11.6427"	"18"
"9.0772"	"10.5121"	"13.3607"	"8.1622"	"8.4637"	"13.3607"	"9.8824"	"11.5432"	"19"
"8.8663"	"10.3385"	"13.3398"	"7.9393"	"8.2297"	"13.3398"	"9.7545"	"11.4435"	"20"
"8.7413"	"10.3984"	"13.3432"	"7.7597"	"8.1246"	"13.3432"	"9.6998"	"11.2839"	"21"
"8.6175"	"10.4586"	"13.348"	"7.5817"	"8.0208"	"13.348"	"9.6457"	"11.1214"	"22"
"8.493"	"10.5176"	"13.3519"	"7.4031"	"7.9164"	"13.3519"	"9.5908"	"10.9581"	"23"
"8.3679"	"10.5753"	"13.3548"	"7.2242"	"7.8112"	"13.3548"	"9.5349"	"10.7941"	"24"
"8.2421"	"10.6317"	"13.3568"	"7.0448"	"7.7053"	"13.3568"	"9.4782"	"10.6294"	"25"
"8.1156"	"10.6869"	"13.3578"	"6.8648"	"7.652"	"13.3578"	"9.4207"	"10.4623"	"26"
"7.9884"	"10.7409"	"13.3579"	"6.6844"	"7.5979"	"13.3579"	"9.3623"	"10.2945"	"27"
"7.8607"	"10.7937"	"13.3571"	"6.5036"	"7.5429"	"13.3571"	"9.3031"	"10.126"	"28"
"7.7323"	"10.8453"	"13.3553"	"6.3223"	"7.4872"	"13.3553"	"9.243"	"9.9365"	"29"
"7.6032"	"10.8957"	"13.3525"	"6.1406"	"7.4306"	"13.3525"	"9.1822"	"9.699"	"30"
"7.5814"	"11.2176"	"13.3456"	"6.11"	"7.4652"	"13.3456"	"9.2139"	"9.5404"	"31"
"7.5591"	"11.5324"	"13.3378"	"6.0783"	"7.4987"	"13.3378"	"9.2443"	"9.3815"	"32"
"7.5362"	"11.8403"	"13.3291"	"6.0456"	"7.5313"	"13.3291"	"9.2735"	"9.2222"	"33"
"7.4732"	"12.1059"	"13.2865"	"5.9746"	"7.5244"	"13.2865"	"9.2606"	"9.1159"	"34"
"7.4048"	"12.3614"	"13.2388"	"5.8981"	"7.5119"	"13.2388"	"9.2416"	"9.0621"	"35"
"7.3355"	"12.611"	"13.1897"	"5.8217"	"7.5086"	"13.1897"	"9.2212"	"9.0061"	"36"
"7.2653"	"12.8548"	"13.1392"	"5.744"	"7.5042"	"13.1392"	"9.1993"	"8.9488"	"37"
"7.1941"	"13.0929"	"13.0871"	"5.6649"	"7.4986"	"13.0871"	"9.1759"	"8.8903"	"38"
"7.1219"	"13.3252"	"13.0337"	"5.5845"	"7.4918"	"13.0337"	"9.1511"	"8.8305"	"39"
"7.0488"	"13.552"	"12.9788"	"5.5027"	"7.4839"	"12.9788"	"9.1249"	"8.7696"	"40"
"6.9676"	"13.6999"	"12.9204"	"5.419"	"7.4719"	"12.9204"	"9.495"	"8.9145"	"41"
"6.892"	"13.8525"	"12.8674"	"5.3407"	"7.4655"	"12.8674"	"9.8639"	"9.0561"	"42"
"6.8155"	"14.0043"	"12.8134"	"5.2615"	"7.4581"	"12.8134"	"10.2254"	"9.1944"	"43"
"6.7379"	"14.1551"	"12.7584"	"5.1814"	"7.4497"	"12.7584"	"10.5796"	"9.3236"	"44"
"6.6594"	"14.3051"	"12.7024"	"5.1003"	"7.4403"	"12.7024"	"10.9265"	"9.426"	"45"
"6.5799"	"14.4541"	"12.6454"	"5.0198"	"7.3585"	"12.6454"	"11.2664"	"9.5274"	"46"
"6.4995"	"14.6023"	"12.5874"	"4.9385"	"7.2757"	"12.5874"	"11.5993"	"9.6258"	"47"
"6.4178"	"14.7504"	"12.5292"	"4.8573"	"7.1931"	"12.5292"	"11.9266"	"9.7146"	"48"
"6.3321"	"14.906"	"12.477"	"4.785"	"7.1188"	"12.477"	"12.2578"	"9.7388"	"49"
"6.2468"	"15.06"	"12.4233"	"4.7112"	"7.043"	"12.4233"	"12.5814"	"9.7909"	"50"
