Order	Perspective	Nsp	interceptSemilog	slopeSemilog	r2Semilog	interceptSemilog2	slopeSemilog2	r2Semilog2	interceptPlain	slopePlain	r2Plain	interceptPlain2	slopePlain2	r2Plain2	interceptLoglog	slopeLoglog	r2Loglog	BestModel	R2Best	corr
RodentiaG	Present	486	+AC0-0.022	+AC0-0.151	0.9872	+AC0-0.284	+AC0-0.01	0.7335	0.733	+AC0-0.087	0.7068	0.562	+AC0-0.004	0.2999	+AC0-0.297	+AC0-0.68	0.6784	law	0.9872	0.8854532845
ChiropteraG	Present	209	0.122	+AC0-0.108	0.9732	+AC0-0.175	+AC0-0.006	0.896	0.853	+AC0-0.07	0.8391	0.631	+AC0-0.003	0.5079	+AC0-0.011	+AC0-0.755	0.5993	law	0.9732	0.8649643637
CarnivoraG	Present	126	0.095	+AC0-0.078	0.9861	+AC0-0.169	+AC0-0.004	0.9331	0.839	+AC0-0.051	0.8437	0.64	+AC0-0.002	0.5678	0.165	+AC0-0.875	0.7073	law	0.9861	0.9041717058
ArtiodactylaG	Present	91	0.146	+AC0-0.135	0.9637	+AC0-0.128	+AC0-0.011	0.9445	0.894	+AC0-0.093	0.8994	0.672	+AC0-0.007	0.6261	+AC0-0.031	+AC0-0.8	0.6259	law	0.9637	0.8083410889
PrimatesG	Present	75	0.083	+AC0-0.204	0.9821	+AC0-0.182	+AC0-0.025	0.8888	0.837	+AC0-0.136	0.834	0.636	+AC0-0.014	0.5438	+AC0-0.157	+AC0-1.008	0.7995	law	0.9821	0.9947736588
EulipotyphlaG	Present	53	+AC0-0.017	+AC0-0.127	0.9857	+AC0-0.235	+AC0-0.01	0.8338	0.759	+AC0-0.082	0.7518	0.6	+AC0-0.005	0.4516	+AC0-0.235	+AC0-0.629	0.6629	law	0.9857	0.9637307893
DiprotodontiaG	Present	39	0.172	+AC0-0.298	0.9041	+AC0-0.05	+AC0-0.069	0.9787	0.957	+AC0-0.232	0.9638	0.752	+AC0-0.048	0.8215	+AC0-0.303	+AC0-0.687	0.5601	law2	0.9787	0.7718747145
AfrosoricidaG	Present	20	0.128	+AC0-0.472	0.9515	+AC0-0.12	+AC0-0.157	0.9178	0.914	+AC0-0.363	0.8913	0.706	+AC0-0.112	0.7287	+AC0-0.45	+AC0-1.05	0.8114	law	0.9515	0.3565378393
DidelphimorphiaG	Present	18	0.194	+AC0-0.149	0.7767	0.018	+AC0-0.021	0.884	1.039	+AC0-0.136	0.9719	0.856	+AC0-0.018	0.974	+AC0-0.005	+AC0-0.773	0.5549	lin2	0.974	0.9503832304
DasyuromorphiaG	Present	18	0.106	+AC0-0.252	0.9427	+AC0-0.094	+AC0-0.054	0.9685	0.912	+AC0-0.206	0.951	0.73	+AC0-0.04	0.8355	+AC0-0.21	+AC0-0.959	0.8151	law2	0.9685	0.7406026227
LagomorphaG	Present	12	+AC0-0.175	+AC0-0.066	0.8755	+AC0-0.261	+AC0-0.004	0.7485	0.655	+AC0-0.048	0.6309	0.585	+AC0-0.003	0.4564	+AC0-0.32	+AC0-0.497	0.8995	pow	0.8995	0.9909295804
